"","pathway","pval","padj","log2err","ES","NES","size"
"369","GO_RESPONSE_TO_MECHANICAL_STIMULUS",0.287652645861601,0.549617589832754,0.0880945010398517,-0.235526368492174,-1.08546906383467,169
"370","GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY",0.291666666666667,0.552158328718233,0.101713902282311,-0.413414605971473,-1.14099051108808,14
"371","GO_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION",0.294422827496757,0.55504697541267,0.0843144320642653,-0.220918564554287,-1.06825825437466,253
"372","GO_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION",0.295187165775401,0.555949382006747,0.0739901439101341,-0.198472285119957,-1.05121419687495,864
"373","GO_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS",0.300604229607251,0.561102361598536,0.0916795246008379,-0.276786432919114,-1.10666323853763,65
"374","GO_NEGATIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",0.301694915254237,0.562198387051368,0.0982123351217438,-0.383052070696688,-1.13450466655617,17
"375","GO_MACROPHAGE_APOPTOTIC_PROCESS",0.303448275862069,0.564254228280239,0.117249716749792,0.403201699028552,1.11905647829931,11
"376","GO_NEGATIVE_REGULATION_OF_CELL_GROWTH",0.306539509536785,0.5677927782443,0.0847985102819124,-0.233475485200515,-1.07334400599354,165
"377","GO_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE",0.312320916905444,0.572551126718865,0.130777137971974,0.277804298171803,1.08615171572272,39
"378","GO_POSITIVE_REGULATION_OF_VASCULAR_WOUND_HEALING",0.313229571984436,0.573542160070383,0.104343952581949,-0.67023295520019,-1.15498956306224,3
"379","GO_TYPE_I_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING",0.314685314685315,0.57489810966023,0.09754492162472,-0.451771275765757,-1.12233203414663,9
"380","GO_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY",0.322195704057279,0.582271169848262,0.0751181635276301,-0.210071391324719,-1.05754186921948,374
"381","GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION",0.325581395348837,0.585624588733546,0.0886261133285098,-0.303910042121763,-1.09933894513059,40
"382","GO_REGULATION_OF_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY",0.326642335766423,0.58674323932119,0.0978773277424561,-0.516683730860692,-1.12197709269518,6
"383","GO_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION",0.327402135231317,0.58768996384328,0.096240602328129,-0.464325156748027,-1.11268105537134,8
"384","GO_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL",0.329462989840348,0.58925973470261,0.0843144320642653,-0.246903157904702,-1.07489680643661,112
"385","GO_DOPAMINE_BINDING",0.329365079365079,0.58925973470261,0.102449405629826,0.740804297972288,1.16429165798693,2
"386","GO_MYOBLAST_FUSION",0.329011345218801,0.58925973470261,0.0905428948469474,-0.332118335393136,-1.10493354554407,28
"387","GO_REGULATION_OF_METAL_ION_TRANSPORT",0.329177057356608,0.58925973470261,0.0762797180809272,-0.214754873965637,-1.05726289681338,293
"388","GO_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY",0.329896907216495,0.589286323550802,0.140406238523342,0.218494738562565,1.06410176379081,122
"389","GO_MYELOID_LEUKOCYTE_DIFFERENTIATION",0.331514324693042,0.590765570087899,0.0806388495950661,-0.229281282378153,-1.06208090531689,179
"390","GO_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS",0.334883720930233,0.594363544157067,0.0870515867946735,-0.309465036422464,-1.08936001741014,35
"391","GO_DEATH_RECEPTOR_ACTIVITY",0.337962962962963,0.598585524211604,0.110564716336619,0.380078017410777,1.0745376519671,12
"392","GO_AMINOGLYCAN_CATABOLIC_PROCESS",0.341389728096677,0.601438991118499,0.0845557442441281,-0.279483609458674,-1.08137665140431,56
"393","GO_SCAVENGER_RECEPTOR_ACTIVITY",0.341736694677871,0.601735886662357,0.122679189568808,0.264526614307823,1.06761985386759,43
"394","GO_POSITIVE_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL",0.341894060995185,0.601900077517494,0.0878312634480124,-0.314177256479211,-1.07548719221652,32
"395","GO_PROTEIN_KINASE_B_SIGNALING",0.347368421052632,0.607583687172904,0.0762797180809272,-0.221215604985442,-1.04916685125705,209
"396","GO_CARGO_RECEPTOR_ACTIVITY",0.348973607038123,0.608618475715688,0.124434168630393,0.240785256079535,1.06650806594832,68
"397","GO_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS",0.350746268656716,0.610368740043208,0.142056643575821,0.199737227900755,1.041940140787,180
"398","GO_POSITIVE_REGULATION_OF_KIDNEY_DEVELOPMENT",0.355628058727569,0.615113708419736,0.0865399737444125,-0.324549540517558,-1.07948265299144,29
"399","GO_PLATELET_DEGRANULATION",0.359223300970874,0.617650119279382,0.129442887745046,0.219046784727029,1.04543667082307,103
"400","GO_POSITIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT",0.365705614567527,0.623181247371312,0.0810802057550866,-0.271493778107732,-1.06260893560005,59
