"","pathway","pval","padj","ES","NES","nMoreExtreme","size"
"331","GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION",0.902757216876388,0.958365276998114,0.188819958303757,0.731373669985178,19513,41
"332","GO_RESPONSE_TO_CORTICOTROPIN_RELEASING_HORMONE",0.905687634142315,0.959432792049486,0.353774513018955,0.618228807748263,21942,3
"333","GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",0.911481393855409,0.962097824125569,-0.177530477613898,-0.758191864340959,26967,84
"334","GO_INTERLEUKIN_2_PRODUCTION",0.919802082259561,0.965976108068634,-0.182019853787659,-0.728124965190797,26768,59
"335","GO_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION",0.926945771284069,0.970414587877016,0.180766533909959,0.718476881324039,19793,46
"336","GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM",0.940992003345006,0.977428874922433,0.161020830340827,0.785550348473259,18003,134
"337","GO_REGULATION_OF_MAST_CELL_CHEMOTAXIS",0.945699458139357,0.979009253700414,-0.268409741611353,-0.579088415584284,24782,6
"338","GO_REGULATION_OF_T_CELL_ACTIVATION",0.946206813603151,0.979074843731423,-0.159363670558491,-0.805686336754503,31467,272
"339","GO_DOPAMINE_NEUROTRANSMITTER_RECEPTOR_ACTIVITY",0.971001792471619,0.989438934348913,-0.515705947931012,-0.686740464042271,24376,1
"340","GO_DOPAMINE_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_COUPLED_VIA_GI_GO",0.971001792471619,0.989438934348913,-0.515705947931012,-0.686740464042271,24376,1
"341","GO_PROCOLLAGEN_PROLINE_DIOXYGENASE_ACTIVITY",0.971294097693351,0.989438934348913,0.222176771268723,0.54262656847948,22906,8
