gene,TUNG2_81s_1,TUNG2_95s_3,TUNG3_81s_2,TUNG3_95s_4,TUNG4_81s_3,TUNG4_95s_4,TUNG6_81s_4,TUNG6_95s_5,TUNG7_81s_5,TUNG7_95s_5
ABCA6|23460,17.2786,43.8596,11.8203,28.8221,51.8373,51.1364,8,3.8388,34.1248,6.2893
ABCA7|10347,105.8315,140.3509,122.9314,142.8571,1909.3422,2531.25,380,614.2035,113.7495,79.6646
ABCA8|10351,10.7991,6.5789,2.3641,12.5313,5.7597,21.3068,4,0,30.3332,33.543
ABCA9|10350,12.959,10.9649,2.3641,1.2531,57.5971,48.2955,4,5.7582,11.3749,0
ABCB10|23456,218.1425,252.193,224.5863,209.2732,51.8373,55.3977,88,92.1305,147.8743,161.4256
ABCB11|8647,0,2.193,0,2.5063,0,0,0,0,0,0
ABCB1|5243,10.7991,6.5789,0,3.7594,17.2791,28.4091,4,3.8388,26.5415,14.6751
ABCB4|5244,19.4384,19.7368,11.8203,15.0376,11.5194,8.5227,0,0,22.7499,10.4822
ABCB5|340273,2.1598,4.386,11.8203,13.7845,0,1.4205,0,1.9194,0,0
ABCB6|10058,947.7322,1118.6184,862.4823,1067.2431,970.0495,1078.8778,1128.4,1496.4683,513.1997,567.3166
ABCB7|22,375.8099,390.3509,442.0804,429.8246,195.83,190.3409,424,449.1363,386.7482,318.6583
ABCB8|11194,814.2549,861.8421,912.5296,1085.213,1782.6287,2024.1477,1176,1535.5086,1057.87,1389.9371
ABCB9|23457,119.0281,186.4254,41.2766,58.0075,422.1,420.9091,246.88,338.2342,134.1865,174.0461
ABCC10|89845,179.2657,197.3684,252.9551,312.0301,835.1572,964.4886,1372,1750.4798,151.666,182.3899
ABCC11|85320,2.1598,2.193,26.0047,12.5313,17.2791,5.6818,20,7.6775,7.5833,2.0964
ABCC12|94160,0,0,0,0,0,0,0,0,0,0
ABCC13|150000,0,0,0,0,0,0,0,0,0,0
ABCC1|4363,494.6004,660.0877,690.3073,701.7544,3697.7307,3830.9659,4636,4744.7217,765.9131,735.8491
ABCC2|1244,6.4795,10.9649,28.3688,38.8471,14.3993,61.0795,0,9.5969,7.5833,2.0964
ABCC3|8714,75.594,118.4211,122.9314,126.5664,1146.1813,1230.1136,56,51.8234,178.2075,176.1006
ABCC4|10257,112.311,133.7719,189.1253,200.5013,132.4732,149.1477,136,136.2764,178.2075,155.1363
ABCC5|10057,218.1425,256.5789,425.5319,383.4586,2067.7341,2053.9773,2972,3049.904,242.6655,280.9224
ABCC6P1|653190,2.1598,0,0,0,0,0,0,0,0,0
ABCC6P2|730013,2.1598,6.7105,0,1.2531,0,0,0,0,0,0
ABCC6|368,2.1598,8.6404,0,1.2531,2.8799,7.1023,4,1.9194,3.7916,2.0964
ABCC8|6833,0,0,0,0,11.5194,12.7841,0,0,0,0
ABCC9|10060,228.9417,271.9298,47.2813,51.3784,60.4769,36.9318,24,23.0326,68.2497,35.6394
ABCD1|215,352.0518,475.8772,430.26,493.7343,1563.7599,1882.1023,2372,3036.4683,530.8308,691.8239
ABCD2|225,0,0,0,1.2531,0,4.2614,0,0,7.5833,6.2893
ABCD3|5825,634.9892,666.6667,820.331,728.0702,244.7875,230.1136,236,220.7294,542.2058,379.4549
ABCD4|5826,222.4622,278.5088,330.9693,350.8772,443.4973,498.5795,204,224.5681,379.1649,433.9623
ABCE1|6059,3164.1469,3596.4912,2356.974,2067.6692,573.0907,512.7841,1152,982.7255,1334.6604,1127.8826
ABCF1|23,1419.0065,1741.2281,494.0898,484.9624,1989.9781,2072.4432,4068,4053.7428,1012.3703,1056.6038
ABCF2|10061,1611.2311,1861.8421,2815.6028,2981.203,3369.4275,3200.2841,2580,2504.7985,2559.363,2773.5849
ABCF3|55324,922.2462,1236.8421,1252.9551,1319.5489,2303.882,2301.1364,2828,3072.9367,966.8705,1023.0608
ABCG1|9619,280.7775,405.7018,371.1584,369.6742,970.5103,964.4886,204,239.9232,724.2049,708.5954
ABCG2|9429,90.7127,96.4912,28.3688,30.0752,11.5194,29.8295,4,7.6775,98.5829,54.5073
ABCG4|64137,8.6393,13.1579,108.747,106.5163,46.0776,41.1932,4,15.3551,18.9582,39.8323
ABCG5|64240,0,0,2.3641,0,0,0,0,0,0,2.0964
ABCG8|64241,0,0,0,0,0,0,0,0,0,0
ABHD10|55347,809.9352,1160.0877,534.279,462.406,204.4695,211.6477,384,389.6353,500.4977,412.9979
ABHD11|83451,235.4212,322.3684,851.0638,894.7368,362.8614,366.4773,248,320.5374,303.3319,389.9371
ABHD12B|145447,2.1598,6.5789,2.3641,2.5063,14.3993,7.1023,4,0,11.3749,2.0964
ABHD12|26090,2008.6393,2432.0175,1328.6052,1369.6742,1367.93,1491.4773,896,1109.405,2544.1964,2744.2348
ABHD13|84945,295.8963,396.9298,879.4326,969.9248,152.6322,107.9545,120,136.2764,481.5394,452.8302
ABHD14A|25864,250.54,343.8596,661.9385,705.1003,175.671,267.0455,196,251.4395,326.0818,469.6017
ABHD14B|84836,488.121,574.5614,1773.0496,1813.2832,1218.1776,1289.7727,620,675.6238,1069.245,1163.522
ABHD15|116236,198.7041,241.2281,184.3972,211.7794,311.0241,397.7273,344,477.9271,200.9574,234.8008
ABHD1|84696,0,0,0,0,8.6396,1.4205,0,3.8388,0,2.0964
ABHD2|11057,1287.257,1570.1754,647.7541,598.9975,1264.2553,1346.5909,1252,1124.7601,932.7456,758.9099
ABHD3|171586,241.9006,298.2456,172.5768,174.1855,138.2329,123.5795,204,166.9866,363.9983,276.7296
ABHD4|63874,2222.4622,2548.2456,669.0307,543.8596,2738.7398,2731.5341,2336,2700.5758,1126.1197,1000
ABHD5|51099,742.9806,956.1404,1146.5721,1061.4035,207.3494,237.2159,124,128.5988,625.6221,584.9057
ABHD6|57406,328.2937,423.2456,633.5697,681.7043,403.1794,309.6591,92,107.4856,352.6233,354.2977
ABHD8|79575,263.4989,473.6842,52.0095,85.213,584.6101,734.375,848,1130.5182,451.2062,909.8532
ABI1|10006,2223.8013,2585.5263,3377.0449,3148.9599,679.6452,700.2841,1800,1712.0921,1778.2833,1526.2055
ABI2|10152,403.8877,607.4561,92.1986,86.4662,282.2256,279.8295,436,483.6852,329.8735,280.9224
ABI3BP|25890,485.9611,561.4035,0,6.2657,535.6526,463.0682,24,19.1939,151.666,73.3753
ABI3|51225,179.2657,153.5088,151.3002,172.9323,800.599,965.9091,176,176.5835,902.4124,1209.6436
ABL1|25,950.324,1142.5439,659.5745,784.4612,3331.9894,3620.7386,3704,3884.8369,739.3715,857.4423
ABL2|27,833.6933,914.4737,283.6879,226.817,449.257,495.7386,900,850.2879,462.5812,385.7442
ABLIM1|3983,3155.5076,3684.2105,2163.1206,2226.817,6615.0213,6196.0227,6244,5604.6065,1865.4913,1566.0377
ABLIM2|84448,440.6048,438.5965,234.0426,289.4737,950.3513,1149.1477,280,339.7313,235.0822,274.6331
ABLIM3|22885,183.5853,186.4035,316.7849,323.3083,501.0943,572.4432,144,155.4702,720.4133,601.6771
ABO|28,10.7991,26.3158,0,0,339.8226,409.0909,4,11.5163,7.5833,4.1929
ABP1|26,58.3153,46.0526,137.1158,231.8296,414.6988,512.7841,24,57.5816,822.7878,721.174
ABRA|137735,56.1555,48.2456,0,0,17.2791,12.7841,0,1.9194,0,0
ABR|29,2438.4449,2682.0175,1704.4917,1548.8722,4705.6791,4715.9091,5612,6297.5048,1008.5786,953.8784
ABT1|29777,926.5659,1278.5088,2411.3475,2576.4411,512.6138,514.2045,1044,1047.9846,1880.6579,2163.522
ABTB1|80325,425.486,653.5088,737.5887,914.787,783.3199,873.5795,456,550.8637,834.1628,1002.0964
ABTB2|25841,129.5896,118.4211,196.2175,197.995,527.013,643.4659,1084,1069.0979,216.124,255.7652
ACAA1|30,1053.9957,1300.4386,2853.4279,3244.3609,717.0833,794.0341,324,403.071,1664.5339,1765.1992
ACAA2|10449,449.2441,521.9298,340.4255,291.9799,239.0278,257.1023,68,67.1785,928.954,773.5849
ACACA|31,963.2829,1179.8246,1281.3239,1354.6366,2090.773,2221.5909,3316,3270.6334,352.6233,352.2013
ACACB|32,43.1965,54.8246,28.3688,30.0752,224.6285,240.0568,36,67.1785,11.3749,23.0608
ACAD10|80724,172.7862,236.8421,184.3972,177.9449,417.5786,504.2614,272,347.4088,151.666,132.0755
ACAD11|84129,64.7948,57.0175,141.844,196.7043,417.5786,446.0227,544,444.8944,34.1248,25.1572
ACAD8|27034,321.8143,440.7895,222.2222,245.614,213.1091,275.5682,136,149.7121,269.2071,301.8868
ACAD9|28976,792.6566,892.4781,1364.0662,1376.6165,1105.633,1194.2756,1196,1333.3013,1046.4951,1152.914
ACADL|33,4.3197,0,0,0,8.6396,4.2614,4,0,0,0
ACADM|34,460.0432,596.4912,598.1087,583.9599,221.7486,194.6023,168,174.6641,481.5394,385.7442
ACADSB|36,103.6717,114.0351,186.7612,157.8947,71.9963,66.7614,64,53.7428,144.0827,67.086
ACADS|35,501.0799,620.614,78.0142,115.2882,956.111,1066.7614,360,472.1689,432.248,727.4633
ACADVL|37,1062.635,1359.6491,2271.8676,2433.5589,5814.2783,6803.9347,4287.88,4926.737,1793.4499,2123.6897
ACAN|176,95.0324,142.5439,28.3688,26.3158,17.2791,34.0909,324,257.1977,30.3332,23.0608
ACAP1|9744,45.3564,100.8772,96.9267,117.7945,673.8855,772.7273,100,124.7601,238.8739,320.7547
ACAP2|23527,732.1814,802.6316,940.8983,919.7995,544.2921,544.0341,712,664.1075,401.9148,392.0335
ACAP3|116983,1550.7559,2180.0658,1498.3924,1904.6992,7360.9031,8892.9688,7124,9605.7006,496.706,710.6918
ACAT1|38,561.5551,807.0175,612.2931,679.198,181.4307,232.9545,244,249.5202,822.7878,716.9811
ACAT2|39,1606.2851,2001.0088,42.8605,19.1103,300.455,312.9688,204.6,233.8964,1040.5422,1111.761
ACBD3|64746,1157.6674,1484.6491,912.5296,926.0652,662.3661,680.3977,1168,1086.3724,773.4964,698.1132
ACBD4|79777,21.5983,37.2807,70.922,57.6441,253.427,261.3636,44,49.904,60.6664,104.8218
ACBD5|91452,423.3261,460.5263,326.2411,256.8922,77.756,61.0795,148,238.0038,269.2071,125.7862
ACBD6|84320,1449.2441,1697.3684,907.8014,927.3183,406.0592,360.7955,716,715.9309,879.6625,844.8637
ACBD7|414149,21.5983,21.9298,0,0,0,8.5227,8,19.1939,0,4.1929
ACCN1|40,71.2743,105.2632,0,0,2.8799,2.8409,0,0,18.9582,29.3501
ACCN2|41,101.5119,96.4912,4.7281,16.2907,547.172,579.5455,44,65.2591,41.7081,37.7358
ACCN3|9311,0,2.193,4.7281,5.0125,46.0776,79.5455,156,205.3743,3.7916,0
ACCN4|55515,0,0,0,1.2531,0,0,0,1.9194,0,0
ACCN5|51802,0,0,2.3641,1.2531,0,0,0,0,0,0
ACCSL|390110,0,2.193,0,0,0,0,0,0,0,0
ACCS|84680,19.4384,19.7368,148.9362,140.3509,403.1794,342.3295,168,172.7447,109.9578,136.2683
ACD|65057,710.5832,980.2632,456.2648,501.2531,1166.3403,1298.2955,1848,2032.6296,1167.8279,1343.8155
ACE2|59272,19.4384,13.1579,94.5626,72.6817,112.3142,132.1023,60,32.6296,166.8326,92.2432
ACER1|125981,2.1598,2.193,503.5461,492.4812,23.0388,38.3523,8,0,159.2493,142.5577
ACER2|340485,30.2376,30.7018,87.4704,104.01,57.5971,58.2386,12,11.5163,34.1248,31.4465
ACER3|55331,382.2894,425.4386,843.9716,751.8797,486.6951,481.5341,304,299.4242,868.2876,758.9099
ACE|1636,153.3477,146.9298,172.5768,250.6266,653.7265,710.2273,476,744.7217,261.6238,406.7086
ACHE|43,112.311,120.614,40.1891,35.0877,1062.6656,1193.1818,172,197.6967,68.2497,75.4717
ACIN1|22985,725.7019,859.6491,661.9385,577.6942,5843.2208,5693.1818,4244,4207.2937,508.081,528.3019
ACLY|47,2116.6307,2451.7544,3565.0118,3557.6441,3470.2223,3430.3977,4376,4785.0288,1008.5786,1006.2893
ACMSD|130013,0,0,7.0922,0,0,0,0,0,0,0
ACN9|57001,442.7646,541.6667,14.1844,22.5564,57.5971,49.7159,136,99.8081,246.4572,276.7296
ACO1|48,730.0216,883.7719,489.3617,482.4561,296.6248,295.4545,548,531.6699,409.4981,352.2013
ACO2|50,2842.9806,3402.7412,2230.4965,2233.183,3811.8304,4011.7898,5127.52,5698.6756,2230.665,2848.6583
ACOT11|26027,75.594,67.9825,1044.9173,1023.1203,775.8611,762.3295,137.44,246.1804,380.4161,431.9706
ACOT12|134526,0,0,0,0,0,0,0,0,3.7916,0
ACOT13|55856,686.1987,773.8377,1381.5366,1452.0175,285.3934,273.679,200.12,207.8311,1130.4422,926.3941
ACOT1|641371,109.3089,129.2982,157.6832,206.0276,0,26.7472,52.36,42.8215,138.2435,48.4696
ACOT2|10965,787.0194,815.8772,445.1537,484.4486,267.8263,346.8324,395.64,442.7831,544.2533,452.5786
ACOT4|122970,123.1102,140.3509,73.2861,76.4411,20.159,41.1932,44,34.5489,208.5407,140.4612
ACOT6|641372,0,0,0,0,0,0,0,0,0,0
ACOT7|11332,1922.2462,2478.0702,2683.2151,2951.1278,2516.9911,3328.125,1532,1848.3685,4421.0626,5771.4885
ACOT8|10005,601.4903,733.0044,1048.3688,1372.4687,393.8774,406.2216,297.48,291.2476,1025.1481,1249.4549
ACOT9|23597,1153.3477,1293.8596,855.792,814.5363,299.5047,284.0909,296,195.7774,1088.2032,1142.5577
ACOX1|51,643.6285,811.4035,923.2151,881.9799,596.907,630.5398,604,523.4357,731.7882,636.0377
ACOX2|8309,6.4795,8.7719,23.6407,27.5689,17.2791,25.5682,4,5.7582,26.5415,14.6751
ACOX3|8310,429.8056,375,411.3475,402.2556,639.3273,687.5,260,284.0691,473.9561,574.4235
ACOXL|55289,0,0,0,2.5063,2.8799,0,4,3.8388,0,4.1929
ACP1|52,2531.3175,2894.7368,1444.4444,1403.5088,731.4825,696.0227,620,550.8637,1744.1585,1714.8847
ACP2|53,1343.4125,1697.3684,437.3522,424.812,1873.7473,2060.1847,940,919.1939,1471.1598,1672.956
ACP5|54,1062.635,1344.2982,9026.0047,10294.4862,3372.3073,3846.5909,1488,1925.144,5183.184,6415.0943
ACP6|51205,75.594,118.4211,137.1158,106.5163,37.4381,36.9318,16,28.7908,102.3745,69.1824
ACPL2|92370,140.3888,208.3333,14.1844,11.2782,92.1553,80.9659,152,157.3896,56.8747,25.1572
ACPP|55,58.3153,87.7193,167.8487,146.6165,135.3531,107.9545,8,15.3551,204.749,157.2327
ACPT|93650,4.3197,4.386,0,0,5.7597,1.4205,4,0,0,0
ACRBP|84519,0,0,9.4563,6.2657,66.2366,96.5909,28,13.4357,11.3749,8.3857
ACRC|93953,2.1598,4.386,7.0922,10.0251,17.2791,22.7273,16,11.5163,7.5833,2.0964
ACRV1|56,4.3197,10.9649,47.2813,36.3409,11.5194,9.9432,0,0,7.5833,14.6751
ACR|49,0,2.193,0,2.5063,11.5194,15.625,16,7.6775,3.7916,0
ACSBG1|23205,10.7991,10.9649,26.0047,15.0376,2.8799,8.5227,8,13.4357,11.3749,4.1929
ACSBG2|81616,0,0,0,0,0,0,0,0,0,2.0964
ACSF2|80221,205.1836,210.5263,134.7518,144.1103,434.8577,414.7727,528,462.572,405.7064,358.4906
ACSF3|197322,380.1296,478.0702,333.3333,424.812,806.3587,829.5455,972,969.2898,709.0383,763.1027
ACSL1|2180,1697.6242,1842.1053,1063.8298,959.8997,734.3624,789.7727,1032,880.9981,966.8705,758.9099
ACSL3|2181,3812.095,4646.9298,605.2009,590.2256,1186.4993,1251.4205,720,596.929,1031.3285,830.1887
ACSL4|2182,630.6695,719.2982,1482.2695,1319.5489,728.6027,663.3523,1160,1101.7274,1080.6199,842.7673
ACSL5|51703,408.2073,436.4035,73.2861,63.9098,797.7192,821.0227,340,301.3436,625.6221,538.7841
ACSL6|23305,2.1598,2.193,2.3641,1.2531,5.7597,1.4205,0,0,7.5833,2.0964
ACSM1|116285,2.1598,0,0,0,2.8799,0,4,0,0,2.0964
ACSM2A|123876,0,0,0,0,0,0,0,0,3.7916,0
ACSM2B|348158,4.3197,0,0,0,0,0,0,0,7.5833,0
ACSM3|6296,6.5011,13.1579,7.2104,5.213,2.8799,10.142,8,6.9482,0,0
ACSM4|341392,0,0,0,0,0,0,0,0,0,0
ACSM5|54988,15.1188,13.1579,0,1.2531,2.8799,1.4205,0,0,7.5833,6.2893
ACSS1|84532,172.7862,168.8596,130.0236,114.0351,705.5639,714.4886,860,975.048,405.7064,423.4801
ACSS2|55902,708.4233,699.5614,848.6998,902.2556,958.9909,889.2045,748,721.6891,545.9974,496.8553
ACSS3|79611,25.9179,28.5088,7.0922,3.7594,2.8799,2.8409,0,3.8388,3.7916,2.0964
ACTA1|58,8.6393,4.386,33.0969,37.594,33250.7776,35781.25,1424,1650.6718,1334.6604,1763.1027
ACTA2|59,12995.7667,14132.9605,1720.1655,1534.787,826.0569,854.9716,3537.12,3392.7255,2049.2346,1970.9015
ACTBL2|345651,17.2786,32.8947,11.8203,2.5063,2.8799,4.2614,0,0,3.7916,10.4822
ACTB|60,258434.1253,291848.6842,320945.6265,321370.9273,232237.0695,233026.9886,251092,259213.0518,220283.4258,234997.9036
ACTC1|70,198.7041,267.5439,78.0142,92.7318,5647.3909,5437.5,1848,1844.5298,375.3732,463.3124
ACTG1|71,145429.8056,174912.2807,156593.3806,163690.4762,171230.273,176370.7386,168264,176760.0768,160235.0822,175000
ACTG2|72,1287.257,1328.9474,193.8534,184.2105,74.8762,95.1705,556,449.1363,109.9578,104.8218
ACTL6A|86,1546.4363,1929.8246,1120.5674,1296.9925,244.7875,261.3636,672,738.9635,1455.9932,1417.1908
ACTL6B|51412,0,0,2.3641,1.2531,0,0,0,0,0,0
ACTL7A|10881,0,4.386,0,0,0,1.4205,0,0,0,0
ACTL7B|10880,0,4.386,0,0,0,2.8409,0,0,0,0
ACTL8|81569,0,0,210.4019,233.0827,0,0,0,0,0,0
ACTL9|284382,0,0,0,0,0,0,0,0,0,0
ACTN1|87,11779.6976,13769.7368,5673.7589,6057.6441,18140.1912,19062.5,23216,25497.1209,7215.5078,8589.0985
ACTN2|88,0,2.193,7.0922,5.0125,3550.8582,3569.6023,224,186.1804,102.3745,71.2788
ACTN3|89,0,4.386,0,0,5.7597,2.8409,12,15.3551,0,2.0964
ACTN4|81,11594.1253,13349.8684,6458.6998,6980.0877,35201.2153,37391.8892,48782.08,52866.4491,5828.6743,6817.4214
ACTR10|55860,1628.5097,1980.2632,2392.435,2270.6767,527.013,477.2727,284,337.8119,1603.8675,1496.8553
ACTR1A|10121,4954.6436,5537.2807,7855.792,7438.5965,9054.2564,8713.0682,9464,9001.9194,6373.7618,5945.4927
ACTR1B|10120,1028.0778,1221.4912,1460.9929,1583.9599,794.8393,833.8068,796,865.643,1091.9949,1159.3291
ACTR2|10097,2580.9935,3114.0351,1555.5556,1469.9248,1088.5843,1120.7386,1032,890.595,1747.9501,1526.2055
ACTR3B|57180,203.0238,225.8772,61.4657,74.5363,57.5971,71.7756,128,128.023,68.553,46.1216
ACTR3C|653857,6.4795,0,66.1939,68.3208,20.159,34.7585,16,12.0921,71.738,41.9287
ACTR3|10096,3531.3175,4473.6842,9182.0331,9046.3659,3081.4422,3399.1477,3224,3458.7332,4989.8099,4784.0671
ACTR5|79913,211.6631,276.3158,307.3286,298.2456,161.2717,154.8295,160,165.0672,360.2066,448.6373
ACTR6|64431,529.1577,677.6316,288.4161,304.5113,60.4769,62.5,156,134.357,337.4568,320.7547
ACTR8|93973,496.7603,526.3158,406.6194,399.7494,172.7912,174.7159,148,134.357,276.7904,310.2725
ACTRT1|139741,0,0,0,0,0,0,0,0,0,0
ACTRT2|140625,0,0,0,0,0,0,0,0,0,0
ACVR1B|91,719.2225,875,392.435,496.2406,1771.1093,1876.4205,836,800.3839,390.5398,364.7799
ACVR1C|130399,177.1058,225.8772,182.0331,166.6667,40.3179,34.0909,52,28.7908,22.7499,10.4822
ACVR1|90,2116.6307,2364.0351,869.9764,922.3058,587.4899,710.2273,1492,1303.263,606.6638,601.6771
ACVR2A|92,475.162,587.7193,267.1395,219.2982,86.3956,89.4886,128,105.5662,128.9161,85.9539
ACVR2B|93,82.0734,78.9474,42.5532,36.3409,48.9575,62.5,24,38.3877,41.7081,44.0252
ACVRL1|94,293.7365,322.3684,217.4941,228.0702,256.3069,296.875,240,257.1977,329.8735,444.4444
ACY1|95,425.486,561.8421,7002.3641,7355.0501,705.5639,701.7045,348,389.6353,1137.4947,1320.7547
ACY3|91703,32.3974,41.6667,92.1986,90.2256,74.8762,99.4318,8,5.7582,34.1248,77.5681
ACYP1|97,114.4708,118.4211,11.8203,26.3158,31.6784,41.1932,32,47.9846,75.833,48.218
ACYP2|98,293.7365,434.2105,283.6879,374.6867,43.1978,45.4545,32,92.1305,121.3328,247.3795
ADAD1|132612,0,0,0,0,0,0,0,0,0,0
