"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LAG3",0.0130878132259643,0.559649528991132,14.7056864556787,1.22903283187856e-48,3.75131439792414e-47,97.8098389291487
"CXCL9",0.0243183910317553,-0.51106765974638,14.3372806830413,2.47492299307086e-46,6.77990550368883e-45,92.6085952210657
"PDCD1LG2",0.00986317709056238,0.359343236537048,11.0451870136653,2.92452476426838e-28,2.84737670481362e-27,51.2069049394812
"TGFB1",0.00606631091557379,5.60159384575667,10.6699252325442,1.72701215887721e-26,1.50236432479841e-25,46.5363937733209
"PDCD1",0.00759177437163451,-1.00449405271725,5.89593077726242,3.80057297270029e-09,1.01467476368611e-08,7.87197654141442
"HAVCR2",0.00480117334564657,2.20129582011365,5.52576721141428,3.33158774591384e-08,8.26781136776086e-08,5.4780971480265
"JAK2",-0.00228778081602,4.70555959300863,-4.74043479030971,2.150922716005e-06,4.5790489387909e-06,1.08713503347264
"CD274",0.0029211432090841,1.99072127100836,3.80469123090815,0.000142508400048277,0.000254209625242842,-2.48256085249246
"CD86",0.000413385799392021,0.99995700662196,0.374712134167409,0.707879522416915,0.741768266481303,-9.57627050906487
