"","x"
"Adipose Tissue",1204
"Adrenal Gland",258
"Bladder",21
"Blood",929
"Blood Vessel",1335
"Brain",2642
"Breast",459
"Cervix Uteri",19
"Colon",779
"Esophagus",1445
"Fallopian Tube",9
"Heart",861
"Kidney",89
"Liver",226
"Lung",578
"Muscle",803
"Nerve",619
"Ovary",180
"Pancreas",328
"Pituitary",283
"Prostate",245
"Salivary Gland",162
"Skin",1809
"Small Intestine",187
"Spleen",241
"Stomach",359
"Testis",361
"Thyroid",653
"Uterus",142
"Vagina",156
